002203,601318,cash,commission,total,return,equity_curve
0.0,7266.7,92935.0,1.3,100201.7,-0.0015295669780938104,1.0020169999999993
0.0,7306.6,92935.0,1.3,100241.6,0.0003981968369799471,1.0024159999999993
0.0,7081.2,92935.0,1.3,100016.2,-0.002248567461014317,1.000161999999999
0.0,7072.399999999999,92935.0,1.3,100007.4,-8.798574630908274e-05,1.000073999999999
0.0,7045.2,92935.0,1.3,99980.2,-0.0002719798734893697,0.999801999999999
0.0,7193.9,92935.0,1.3,100128.9,0.001487294484307844,1.001288999999999
0.0,7201.6,92935.0,1.3,100136.6,7.690087477252305e-05,1.001365999999999
0.0,7218.099999999999,92935.0,1.3,100153.1,0.00016477491746269557,1.001530999999999
0.0,7043.300000000001,92935.0,1.3,99978.3,-0.0017453279029805424,0.9997829999999991
0.0,6848.999999999999,92935.0,1.3,99784.0,-0.0019434217225138273,0.9978399999999991
0.0,6642.1,92935.0,1.3,99577.1,-0.002073478714022192,0.9957709999999992
0.0,6042.6,92935.0,1.3,98977.6,-0.006020460527571103,0.9897759999999992
0.0,6217.5,92935.0,1.3,99152.5,0.0017670664877709186,0.9915249999999992
0.0,6417.6,92935.0,1.3,99352.6,0.0020181034265400744,0.9935259999999994
0.0,6528.4,92935.0,1.3,99463.4,0.0011152199338515523,0.9946339999999991
0.0,6725.6,92935.0,1.3,99660.6,0.0019826388400157047,0.9966059999999993
0.0,6783.9,92935.0,1.3,99718.9,0.0005849854405852728,0.9971889999999992
862.2,6761.499999999999,92088.4,2.6,99712.09999999999,-6.819168683169785e-05,0.9971209999999991
863.1999999999999,6748.899999999999,92088.4,2.6,99700.49999999999,-0.00011633492825846581,0.9970049999999991
852.3,6577.0,92088.4,2.6,99517.7,-0.001833491306462709,0.9951769999999993
851.3,6497.3,92088.4,2.6,99437.0,-0.0008109110238680994,0.9943699999999993
841.3000000000001,6552.7,92088.4,2.6,99482.4,0.0004565704918690905,0.9948239999999992
845.3,6509.0,92088.4,2.6,99442.7,-0.0003990655633558937,0.9944269999999992
868.1000000000001,6547.800000000001,92088.4,2.6,99504.3,0.0006194522071505393,0.9950429999999992
852.3,6623.6,92088.4,2.6,99564.3,0.0006029890165550889,0.9956429999999993
851.3,6679.9,92088.4,2.6,99619.59999999999,0.0005554199647863634,0.9961959999999991
843.3,6830.500000000001,92088.4,2.6,99762.2,0.0014314452176078518,0.9976219999999991
865.2,6858.700000000001,92088.4,2.6,99812.29999999999,0.0005021942178500272,0.9981229999999991
879.1,0.0,98945.79999999999,3.9000000000000004,99824.9,0.00012623694674918085,0.9982489999999993
883.0,0.0,98945.79999999999,3.9000000000000004,99828.79999999999,3.9068408783649033e-05,0.9982879999999992
875.0999999999999,0.0,98945.79999999999,3.9000000000000004,99820.9,-7.913547994164993e-05,0.9982089999999992
877.1000000000001,0.0,98945.79999999999,3.9000000000000004,99822.9,2.0035884268798654e-05,0.9982289999999993
903.9,0.0,98945.79999999999,3.9000000000000004,99849.69999999998,0.00026847547005726113,0.9984969999999991
881.1,0.0,98945.79999999999,3.9000000000000004,99826.9,-0.00022834319982922846,0.9982689999999992
857.2,0.0,98945.79999999999,3.9000000000000004,99802.99999999999,-0.00023941442637209764,0.9980299999999991
860.2,0.0,98945.79999999999,3.9000000000000004,99805.99999999999,3.0059216656885823e-05,0.9980599999999992
805.6000000000001,0.0,98945.79999999999,3.9000000000000004,99751.4,-0.0005470612989197932,0.9975139999999992
808.6,0.0,98945.79999999999,3.9000000000000004,99754.4,3.0074765867915687e-05,0.9975439999999992
850.3,0.0,98945.79999999999,3.9000000000000004,99796.09999999999,0.0004180266735100968,0.9979609999999992
839.2999999999998,0.0,98945.79999999999,3.9000000000000004,99785.09999999999,-0.00011022474826172246,0.9978509999999992
846.3,0.0,98945.79999999999,3.9000000000000004,99792.09999999999,7.015075397021064e-05,0.9979209999999991
855.1999999999999,0.0,98945.79999999999,3.9000000000000004,99800.99999999999,8.918541648084144e-05,0.9980099999999991
852.3,0.0,98945.79999999999,3.9000000000000004,99798.09999999999,-2.905782507178767e-05,0.9979809999999991
839.2999999999998,0.0,98945.79999999999,3.9000000000000004,99785.09999999999,-0.00013026300099905352,0.997850999999999
858.2,0.0,98945.79999999999,3.9000000000000004,99803.99999999999,0.00018940703571979078,0.998039999999999
844.3,0.0,98945.79999999999,3.9000000000000004,99790.09999999999,-0.00013927297503102398,0.997900999999999
843.3,0.0,98945.79999999999,3.9000000000000004,99789.09999999999,-1.0021034150708985e-05,0.997890999999999
849.3000000000001,0.0,98945.79999999999,3.9000000000000004,99795.09999999999,6.012680743694432e-05,0.997950999999999
851.3,0.0,98945.79999999999,3.9000000000000004,99797.09999999999,2.0041064140441378e-05,0.997970999999999
863.1999999999999,0.0,98945.79999999999,3.9000000000000004,99808.99999999999,0.00011924194190005011,0.998089999999999
878.1,0.0,98945.79999999999,3.9000000000000004,99823.9,0.00014928513460721327,0.9982389999999991
877.1000000000001,0.0,98945.79999999999,3.9000000000000004,99822.9,-1.0017641065895866e-05,0.9982289999999991
864.2000000000002,0.0,98945.79999999999,3.9000000000000004,99809.99999999999,-0.00012922886431876446,0.9980999999999991
889.0,0.0,98945.79999999999,3.9000000000000004,99834.79999999999,0.00024847209698419803,0.998347999999999
864.2000000000002,0.0,98945.79999999999,3.9000000000000004,99809.99999999999,-0.00024841037393774634,0.998099999999999
844.3,0.0,98945.79999999999,3.9000000000000004,99790.09999999999,-0.00019937881975751193,0.997900999999999
861.2,0.0,98945.79999999999,3.9000000000000004,99806.99999999999,0.00016935547714647115,0.998069999999999
875.0999999999999,0.0,98945.79999999999,3.9000000000000004,99820.9,0.00013926878876246995,0.9982089999999991
878.1,0.0,98945.79999999999,3.9000000000000004,99823.9,3.005382640308696e-05,0.9982389999999991
868.1000000000001,0.0,98945.79999999999,3.9000000000000004,99813.9,-0.0001001764106591807,0.9981389999999991
864.2000000000002,0.0,98945.79999999999,3.9000000000000004,99809.99999999999,-3.90727143214642e-05,0.998099999999999
864.2000000000002,0.0,98945.79999999999,3.9000000000000004,99809.99999999999,0.0,0.998099999999999
864.2000000000002,0.0,98945.79999999999,3.9000000000000004,99809.99999999999,0.0,0.998099999999999
880.1,0.0,98945.79999999999,3.9000000000000004,99825.9,0.00015930267508279528,0.9982589999999991
896.0000000000001,0.0,98945.79999999999,3.9000000000000004,99841.79999999999,0.0001592773017824456,0.9984179999999991
898.8999999999999,0.0,98945.79999999999,3.9000000000000004,99844.69999999998,2.904595069397331e-05,0.9984469999999991
899.9000000000001,0.0,98945.79999999999,3.9000000000000004,99845.69999999998,1.0015554155584638e-05,0.998456999999999
913.8,0.0,98945.79999999999,3.9000000000000004,99859.59999999999,0.00013921480844958367,0.9985959999999992
913.8,0.0,98945.79999999999,3.9000000000000004,99859.59999999999,0.0,0.9985959999999992
909.9,0.0,98945.79999999999,3.9000000000000004,99855.69999999998,-3.9054832985607746e-05,0.998556999999999
917.8,0.0,98945.79999999999,3.9000000000000004,99863.59999999999,7.911416173556063e-05,0.9986359999999992
921.8,0.0,98945.79999999999,3.9000000000000004,99867.59999999999,4.0054634521391463e-05,0.9986759999999991
919.8000000000001,0.0,98945.79999999999,3.9000000000000004,99865.59999999999,-2.0026515106019716e-05,0.9986559999999991
926.7999999999998,0.0,98945.79999999999,3.9000000000000004,99872.59999999999,7.009420661363563e-05,0.998725999999999
908.9000000000001,0.0,98945.79999999999,3.9000000000000004,99854.69999999998,-0.0001792283369013159,0.9985469999999989
866.2,0.0,98945.79999999999,3.9000000000000004,99811.99999999999,-0.0004276213337980339,0.9981199999999988
884.0,0.0,98945.79999999999,3.9000000000000004,99829.79999999999,0.00017833527030819418,0.9982979999999988
884.0,0.0,98945.79999999999,3.9000000000000004,99829.79999999999,0.0,0.9982979999999988
876.0,0.0,98945.79999999999,3.9000000000000004,99821.79999999999,-8.013639213944046e-05,0.9982179999999988
858.0,0.0,98945.79999999999,3.9000000000000004,99803.79999999999,-0.00018032133261469685,0.9980379999999989
825.0,0.0,98945.79999999999,3.9000000000000004,99770.79999999999,-0.0003306487328137431,0.9977079999999989
816.0,0.0,98945.79999999999,3.9000000000000004,99761.79999999999,-9.020675387994004e-05,0.9976179999999989
823.0,0.0,98945.79999999999,3.9000000000000004,99768.79999999999,7.016713812291187e-05,0.9976879999999988
824.0,0.0,98945.79999999999,3.9000000000000004,99769.79999999999,1.0023173577344835e-05,0.9976979999999989
833.0,0.0,98945.79999999999,3.9000000000000004,99778.79999999999,9.02076580286959e-05,0.9977879999999988
843.0,0.0,98945.79999999999,3.9000000000000004,99788.79999999999,0.00010022169037915418,0.9978879999999988
849.0,0.0,98945.79999999999,3.9000000000000004,99794.79999999999,6.0126988199016296e-05,0.9979479999999987
831.0,0.0,98945.79999999999,3.9000000000000004,99776.79999999999,-0.00018037011948512927,0.9977679999999988
832.0,0.0,98945.79999999999,3.9000000000000004,99777.79999999999,1.0022369929751918e-05,0.9977779999999988
844.9999999999999,0.0,98945.79999999999,3.9000000000000004,99790.79999999999,0.00013028950327620414,0.9979079999999988
842.0,0.0,98945.79999999999,3.9000000000000004,99787.79999999999,-3.0062891569149208e-05,0.9978779999999988
846.0000000000001,0.0,98945.79999999999,3.9000000000000004,99791.79999999999,4.008506049846261e-05,0.9979179999999989
811.0,0.0,98945.79999999999,3.9000000000000004,99756.79999999999,-0.000350730220318729,0.9975679999999988
778.0,0.0,98945.79999999999,3.9000000000000004,99723.79999999999,-0.0003308045165842932,0.9972379999999988
799.0,0.0,98945.79999999999,3.9000000000000004,99744.79999999999,0.0002105816264521554,0.9974479999999988
790.0,0.0,98945.79999999999,3.9000000000000004,99735.79999999999,-9.02302676429878e-05,0.9973579999999989
784.0,0.0,98945.79999999999,3.9000000000000004,99729.79999999999,-6.015893991928589e-05,0.9972979999999988
0.0,0.0,99728.49999999999,5.2,99728.49999999999,-1.3035221167578825e-05,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,0.0,99728.49999999999,5.2,99728.49999999999,0.0,0.9972849999999989
0.0,6217.8,93535.09999999999,6.5,99752.9,0.0002446642634754692,0.997528999999999
0.0,6101.0,93535.09999999999,6.5,99636.09999999999,-0.001170893277288254,0.9963609999999989
0.0,6160.0,93535.09999999999,6.5,99695.09999999999,0.000592154851504656,0.9969509999999989
0.0,6160.0,93535.09999999999,6.5,99695.09999999999,0.0,0.9969509999999989
0.0,6125.0,93535.09999999999,6.5,99660.09999999999,-0.0003510704136913123,0.996600999999999
874.0,6028.0,92668.79999999999,7.8,99570.79999999999,-0.0008960456591956545,0.9957079999999989
868.0,6101.0,92668.79999999999,7.8,99637.79999999999,0.0006728880354480715,0.9963779999999989
855.0000000000001,6242.0,92668.79999999999,7.8,99765.79999999999,0.0012846530132137879,0.9976579999999988
838.0000000000001,6225.0,92668.79999999999,7.8,99731.79999999999,-0.0003407981492655754,0.9973179999999988
827.9999999999999,6210.0,92668.79999999999,7.8,99706.79999999999,-0.0002506723031169278,0.9970679999999988
850.0,6381.0,92668.79999999999,7.8,99899.79999999999,0.0019356754002735066,0.9989979999999987
849.0,6461.0,92668.79999999999,7.8,99978.79999999999,0.0007907923739587375,0.9997879999999988
848.0,6497.0,92668.79999999999,7.8,100013.79999999999,0.0003500742157336312,1.0001379999999986
856.0,6648.0,92668.79999999999,7.8,100172.79999999999,0.001589780610275815,1.0017279999999986
852.0,6683.0,92668.79999999999,7.8,100203.79999999999,0.00030946524405828235,1.0020379999999987
833.0,6686.0,92668.79999999999,7.8,100187.79999999999,-0.00015967458319943173,1.0018779999999987
834.0,6744.0,92668.79999999999,7.8,100246.79999999999,0.0005888940569609424,1.0024679999999986
819.9999999999999,6470.999999999999,92668.79999999999,7.8,99959.79999999999,-0.00286293427820139,0.9995979999999985
819.9999999999999,6433.0,92668.79999999999,7.8,99921.79999999999,-0.0003801528214342209,0.9992179999999985
830.0000000000001,6420.0,92668.79999999999,7.8,99918.79999999999,-3.0023478360119427e-05,0.9991879999999984
790.0,6138.0,92668.79999999999,7.8,99596.79999999999,-0.0032226167648130577,0.9959679999999984
766.0,6230.0,92668.79999999999,7.8,99664.79999999999,0.0006827528595296783,0.9966479999999984
780.0,6309.0,92668.79999999999,7.8,99757.79999999999,0.000933127844534809,0.9975779999999983
757.0,6333.0,92668.79999999999,7.8,99758.79999999999,1.0024278803255626e-05,0.9975879999999983
746.0,6241.0,92668.79999999999,7.8,99655.79999999999,-0.0010324903667646712,0.9965579999999982
696.0,6225.0,92668.79999999999,7.8,99589.79999999999,-0.0006622795662670766,0.9958979999999982
690.0,6188.0,92668.79999999999,7.8,99546.79999999999,-0.00043177112515535576,0.9954679999999982
723.0,6562.0,92668.79999999999,7.8,99953.79999999999,0.004088529214399728,0.9995379999999983
733.0,6488.0,92668.79999999999,7.8,99889.79999999999,-0.0006402958166672468,0.9988979999999983
741.0,6556.0,92668.79999999999,7.8,99965.79999999999,0.0007608384439652394,0.9996579999999983
723.0,6420.0,92668.79999999999,7.8,99811.79999999999,-0.001540526860186131,0.9981179999999983
